name,lat,lon,demand,start_time,end_time
"Central Logistics Hub, New Delhi",28.6139,77.2090,0,8.0,18.0
"North Delhi Warehouse",28.7041,77.1025,2,9.0,13.0
"Noida Distribution Center",28.5355,77.3910,3,10.0,14.0
"Gurugram Tech Park Hub",28.4595,77.0266,2,9.0,15.0
"Faridabad Industrial Area",28.4089,77.3178,4,11.0,16.0
"Ghaziabad Logistics Park",28.6692,77.4538,3,10.0,15.0
"Greater Noida Cargo Hub",28.4744,77.5040,2,12.0,17.0
"Sonipat Regional Center",28.9931,77.0151,3,9.0,14.0
"Meerut Transport Depot",28.9845,77.7064,4,10.0,16.0
"Panipat Textile Hub",29.3909,76.9635,2,11.0,16.0
"Rohtak Grain Market",28.8955,76.6066,3,10.0,15.0
"Karnal Highway Junction",29.6857,76.9905,2,12.0,17.0
"Alwar Commercial Hub",27.5530,76.6346,3,9.0,16.0
"Mathura Crossroads Depot",27.4924,77.6737,4,10.0,17.0
"Agra Express Gateway",27.1767,78.0081,3,11.0,17.0
"Bharatpur Logistics Point",27.2152,77.5030,2,12.0,16.0
"Rewari Auto Cluster",28.1834,76.6186,3,9.0,14.0
"Palwal Freight Corridor",28.1447,77.3258,2,10.0,15.0
"Bhiwadi Industrial Estate",28.2104,76.8606,4,11.0,16.0
"Hapur Grain Depot",28.7306,77.7759,2,9.0,14.0
"Muzaffarnagar Sugar Hub",29.4727,77.7085,3,10.0,16.0
"Bulandshahr Dairy Center",28.4070,77.8498,2,11.0,15.0
"Ambala Cantonment Hub",30.3782,76.7767,3,10.0,16.0
"Kurukshetra Transit Terminal",29.9695,76.8783,2,11.0,16.0
"Hisar Agricultural Gateway",29.1492,75.7217,3,9.0,15.0
"Jind Transport Node",29.3157,76.3150,2,10.0,15.0
"Chandigarh Tech Hub",30.7333,76.7794,4,11.0,17.0
"Mohali Electronics Depot",30.7046,76.7179,3,12.0,17.0
"Panchkula North Terminal",30.6942,76.8606,2,9.0,14.0
"Dehradun Valley Terminal",30.3165,78.0322,3,10.0,17.0
"Haridwar Express Hub",29.9457,78.1642,2,11.0,16.0
"Roorkee Engineering Depot",29.8543,77.8880,3,9.0,15.0
"Saharanpur Woodcraft Hub",29.9640,77.5460,2,10.0,16.0
"Yamunanagar Paper Hub",30.1290,77.2674,3,11.0,16.0
"Jaipur Pink City Terminal",26.9124,75.7873,4,9.0,18.0
"Gwalior Fort Depot",26.2183,78.1828,3,10.0,17.0
"Bareilly Zari Hub",28.3670,79.4304,3,11.0,17.0
"Moradabad Brass Depot",28.8386,78.7733,2,9.0,15.0
"Aligarh Lock Industry",27.8974,78.0880,3,10.0,16.0
"Firozabad Glass Terminal",27.1590,78.3957,2,11.0,16.0
